num_nodes,mean_degree,trial,topology,graph_seed,num_edges,mean_degree_observed,degree_std,average_clustering,average_shortest_path
200,4,32,small_world,248988907,400,4.0,0.7549834435270749,0.33016666666666666,5.447437185929648
200,4,32,scale_free,1909346690,400,4.0,4.310452412450461,0.07336940849715785,3.2974874371859295
200,4,33,er,3384176981,400,4.0,2.0346989949375804,0.02856629481629482,3.9596984924623118
200,4,33,ring,97281765,400,4.0,0.0,0.5,25.376884422110553
200,4,33,small_world,1454881487,400,4.0,0.7071067811865476,0.3438333333333334,5.647738693467336
200,4,33,scale_free,3638780259,400,4.0,4.113392760240627,0.07447573254533328,3.357537688442211
200,4,34,er,3008050460,400,4.0,1.9026297590440449,0.009971861471861474,3.9685427135678393
200,4,34,ring,206455872,400,4.0,0.0,0.5,25.376884422110553
200,4,34,small_world,4177399606,400,4.0,0.7071067811865476,0.3350000000000001,5.414321608040201
200,4,34,scale_free,744436879,400,4.0,4.616275555033516,0.10218679162255011,3.3131658291457287
200,4,35,er,3222899216,400,4.0,1.8138357147217055,0.025904761904761892,3.952110552763819
200,4,35,ring,3028594908,400,4.0,0.0,0.5,25.376884422110553
200,4,35,small_world,70327907,400,4.0,0.6082762530298219,0.3723333333333333,5.9715577889447236
200,4,35,scale_free,863787798,400,4.0,3.9899874686520005,0.08982434669851518,3.3960301507537687
200,4,36,er,3622875001,400,4.0,1.944222209522358,0.025317460317460308,3.96678391959799
200,4,36,ring,317073856,400,4.0,0.0,0.5,25.376884422110553
200,4,36,small_world,1940801578,400,4.0,0.6928203230275509,0.3821666666666669,5.774874371859297
200,4,36,scale_free,1100479795,400,4.0,4.784349485562275,0.09527926104991608,3.223819095477387
200,4,37,er,975355084,400,4.0,1.7291616465790582,0.01729365079365079,3.9937185929648242
200,4,37,ring,1852889041,400,4.0,0.0,0.5,25.376884422110553
200,4,37,small_world,842003604,400,4.0,0.6708203932499369,0.3980357142857141,6.269949748743719
200,4,37,scale_free,1551458122,400,4.0,4.462062303464621,0.08069677763618141,3.3019597989949747
200,4,38,er,2127843699,400,4.0,1.8466185312619388,0.011769841269841274,3.976884422110553
200,4,38,ring,90389871,400,4.0,0.0,0.5,25.376884422110553
200,4,38,small_world,2308635791,400,4.0,0.6244997998398398,0.35716666666666647,5.917336683417085
200,4,38,scale_free,3810852919,400,4.0,4.551922670696417,0.084553035749755,3.283668341708543
200,4,39,er,281409368,400,4.0,1.8027756377319946,0.010785714285714286,3.991809045226131
200,4,39,ring,1180288559,400,4.0,0.0,0.5,25.376884422110553
200,4,39,small_world,3404446324,400,4.0,0.6082762530298219,0.37149999999999994,6.439346733668342
200,4,39,scale_free,3454370933,400,4.0,4.2731721238443,0.09965666951287766,3.34035175879397
200,4,40,er,2457671894,400,4.0,1.91049731745428,0.017202380952380955,3.9489447236180903
200,4,40,ring,2018884735,400,4.0,0.0,0.5,25.376884422110553
200,4,40,small_world,2208404620,400,4.0,0.648074069840786,0.3769999999999999,5.9208542713567835
200,4,40,scale_free,868235060,400,4.0,3.7080992435478315,0.04057183695703349,3.4826633165829146
200,4,41,er,940761057,400,4.0,1.7691806012954132,0.019658369408369406,4.007035175879397
200,4,41,ring,648214302,400,4.0,0.0,0.5,25.376884422110553
200,4,41,small_world,3273451993,400,4.0,0.5916079783099616,0.38233333333333314,6.326834170854271
200,4,41,scale_free,638021769,400,4.0,4.38520238985614,0.08924906687493696,3.30035175879397
200,4,42,er,1071290972,400,4.0,1.977371993328519,0.01083658008658009,3.9575879396984925
200,4,42,ring,443795934,400,4.0,0.0,0.5,25.376884422110553
200,4,42,small_world,385762125,400,4.0,0.6,0.3741190476190476,6.082361809045226
200,4,42,scale_free,2040844015,400,4.0,4.621688003316537,0.13684766883443353,3.317336683417085
200,4,43,er,1941462640,400,4.0,1.8547236990991407,0.02495238095238095,4.035628140703517
200,4,43,ring,1807019234,400,4.0,0.0,0.5,25.376884422110553
200,4,43,small_world,151710725,400,4.0,0.5477225575051661,0.38816666666666677,6.251206030150754
200,4,43,scale_free,2630909327,400,4.0,4.822862220714998,0.06770897532312548,3.2328643216080404
200,4,44,er,486015461,400,4.0,1.9416487838947598,0.019380952380952384,4.045477386934674
200,4,44,ring,399035036,400,4.0,0.0,0.5,25.376884422110553
200,4,44,small_world,2160183130,400,4.0,0.7681145747868608,0.3211428571428574,5.480301507537688
