num_nodes,mean_degree,topology,corrupt_ratio,core_honest_size,count,probability
200,4,er,0.9,7,10,0.0364963503649635
200,4,er,0.9,8,11,0.040145985401459854
200,4,er,0.9,9,8,0.029197080291970802
200,4,er,0.9,10,11,0.040145985401459854
200,4,er,0.9,11,10,0.0364963503649635
200,4,er,0.9,12,2,0.0072992700729927005
200,4,er,0.9,13,5,0.01824817518248175
200,4,er,0.9,14,8,0.029197080291970802
200,4,er,0.9,15,5,0.01824817518248175
200,4,er,0.9,16,1,0.0036496350364963502
200,4,er,0.9,17,2,0.0072992700729927005
200,4,ring,0.1,2,6,0.8571428571428571
200,4,ring,0.1,3,1,0.14285714285714285
200,4,ring,0.2,2,25,0.5434782608695652
200,4,ring,0.2,3,6,0.13043478260869565
200,4,ring,0.2,4,6,0.13043478260869565
200,4,ring,0.2,5,5,0.10869565217391304
200,4,ring,0.2,6,3,0.06521739130434782
200,4,ring,0.2,8,1,0.021739130434782608
200,4,ring,0.3,2,82,0.5222929936305732
200,4,ring,0.3,3,31,0.19745222929936307
200,4,ring,0.3,4,14,0.08917197452229299
200,4,ring,0.3,5,11,0.07006369426751592
200,4,ring,0.3,6,5,0.03184713375796178
200,4,ring,0.3,7,5,0.03184713375796178
200,4,ring,0.3,8,3,0.01910828025477707
200,4,ring,0.3,9,2,0.012738853503184714
200,4,ring,0.3,12,1,0.006369426751592357
200,4,ring,0.3,14,2,0.012738853503184714
200,4,ring,0.3,23,1,0.006369426751592357
200,4,ring,0.4,2,127,0.32564102564102565
200,4,ring,0.4,3,64,0.1641025641025641
200,4,ring,0.4,4,49,0.12564102564102564
200,4,ring,0.4,5,28,0.07179487179487179
200,4,ring,0.4,6,27,0.06923076923076923
200,4,ring,0.4,7,16,0.041025641025641026
200,4,ring,0.4,8,14,0.035897435897435895
200,4,ring,0.4,9,16,0.041025641025641026
